2014-01-01 00:14:10;humidifier on
2014-01-01 00:29:41;heating on
2014-01-01 00:38:15;light on
2014-01-01 01:46:50;heating off
2014-01-01 02:13:04;heating on
2014-01-01 03:16:15;humidifier off
2014-01-01 03:37:32;humidifier on
2014-01-01 04:11:44;light off
2014-01-01 04:59:55;light on
2014-01-01 06:54:08;humidifier off
2014-01-01 07:04:31;heating off
2014-01-01 07:05:31;humidifier on
2014-01-01 07:16:00;heating on
2014-01-01 08:09:23;humidifier off
2014-01-01 08:35:42;heating off
2014-01-01 08:43:35;heating on
2014-01-01 08:59:23;light off
2014-01-01 09:05:58;humidifier on
2014-01-01 09:52:45;light on
2014-01-01 11:55:28;heating off
2014-01-01 12:35:09;humidifier off
2014-01-01 12:49:51;heating on
2014-01-01 12:51:34;humidifier on
2014-01-01 13:43:39;humidifier off
2014-01-01 13:44:25;heating off
2014-01-01 14:14:57;light off
2014-01-01 14:15:03;heating on
2014-01-01 14:20:19;humidifier on
2014-01-01 14:58:01;light on
2014-01-01 14:59:51;light off
2014-01-01 15:29:30;light on
2014-01-01 15:32:09;humidifier off
2014-01-01 16:11:11;humidifier on
2014-01-01 17:05:26;humidifier off
2014-01-01 17:14:33;humidifier on
2014-01-01 17:39:19;heating off
2014-01-01 17:57:18;heating on
2014-01-01 18:33:33;heating off
2014-01-01 18:42:55;heating on
2014-01-01 18:44:03;humidifier off
2014-01-01 19:34:30;humidifier on
2014-01-01 19:44:58;light off
2014-01-01 20:31:34;light on
2014-01-01 20:40:46;light off
2014-01-01 21:14:14;light on
2014-01-01 21:46:07;light off
2014-01-01 21:47:23;light on
2014-01-01 22:03:28;humidifier off
2014-01-01 22:25:50;humidifier on
2014-01-01 22:30:36;heating off
2014-01-01 22:44:59;heating on
2014-01-01 23:10:12;heating off
2014-01-01 23:32:48;heating on
2014-01-01 23:33:28;humidifier off
2014-01-02 00:04:58;humidifier on
2014-01-02 00:35:19;light off
2014-01-02 00:46:35;heating off
2014-01-02 00:58:08;heating on
2014-01-02 01:00:55;light on
2014-01-02 01:02:25;light off
2014-01-02 01:21:46;humidifier off
2014-01-02 01:34:33;light on
2014-01-02 02:10:48;humidifier on
2014-01-02 02:24:54;heating off
2014-01-02 03:13:49;heating on
2014-01-02 04:37:07;humidifier off
2014-01-02 04:59:32;heating off
2014-01-02 05:13:26;light off
2014-01-02 05:14:45;humidifier on
2014-01-02 05:57:23;heating on
2014-01-02 06:06:24;light on
2014-01-02 07:35:37;heating off
2014-01-02 07:36:37;heating on
2014-01-02 08:10:53;heating off
2014-01-02 08:15:43;heating on
2014-01-02 08:40:09;light off
2014-01-02 08:53:26;light on
2014-01-02 09:39:16;humidifier off
2014-01-02 09:43:06;humidifier on
2014-01-02 11:33:44;humidifier off
2014-01-02 11:38:02;humidifier on
2014-01-02 11:46:07;heating off
2014-01-02 12:16:28;heating on
2014-01-02 12:50:04;light off
2014-01-02 13:07:17;heating off
2014-01-02 13:27:27;light on
2014-01-02 13:30:28;heating on
2014-01-02 13:40:32;heating off
